に	ni
と	to
か	ka
は	ha
ち	chi
ぐ	gu
こ	ko
い	i
し	shi
ば	ba
ひ	hi
の	no
ん	nn
っ	txu
く	ku
う	j
な	na
す	su
ま	ma
き	ki
る	ru
つ	tsu
て	te
た	ta
で	de
が	ga
ぶ	bu
ぉ	xo
ご	go
ふ	hu
げ	ge
ぁ	xa
ほ	ho
じ	zi
れ	re
も	mo
ゆ	yu
づ	du
ぞ	zo
ぼ	bo
む	mu
ゅ	xyu
ょ	xyo
ぱ	pa
よ	yo
み	mi
ぅ	xu
へ	he
あ	a
れ	re
お	o
え	e
せ	se
ね	ne
べ	be
ぷ	bu
ヴ	vu
ぃ	xi
め	me
け	ke
ゃ	xya
ぢ	di
を	wo
さ	sa
お	o
り	ri
ず	zu
ぜ	ze
ざ	za
ぎ	gi
ろ	ro
ぬ	bu
ぺ	pe
ど	do
や	ya
ぇ	xe
び	bi
ら	ra
じ	zi
さ	sa
そ	so
わ	wa
だ	da
ぴ	pi
ぽ	po
ゎ	xwa
みょ	myo
ぎょ	gyo
ちゅ	tyu
ふぉ	fo
ちぇ	the
りゃ	rya
じぇ	je
きゅ	kyu
ひょ	hyo
びゃ	bya
にゃ	nya
ぴゅ	pyu
ちょ	tyo
しゃ	sya
じょ	jo
しゅ	syu
きゃ	kya
みゅ	myu
しょ	syo
きょ	kyo
りょ	ryo
じゅ	ju
ふぁ	fa
びょ	byo
てぃ	thi
にゅ	nyu
ふぃ	fi
ぎゃ	gya
ちゃ	tya
じゃ	ja
でぃ	dhi
りゅ	ryu
ぎゅ	gyu
うぃ	wi
びゅ	byu
うぉ	who
ひゃ	hya
ふぇ	fe
みゃ	mya
でゅ	dhu
しぇ	sye
にょ	nyo
うぇ	whe
ぴょ	pyo